Theme,Term_1,Term_2,Term_3,Term_4,Term_5,Term_6,Term_7,Term_8,Term_9,Term_10
0,genetic,nucleotide,polymorphism,single,predisposition,disease,genome,association,study,wide
1,aged,adult,studies,middle,cohort,male,80,adolescent,female,young
2,health,records,electronic,estonia,banks,specimen,biological,agents,surveys,questionnaires
3,risk,factors,cardiovascular,assessment,diseases,stroke,biomarkers,atherosclerosis,diabetes,mellitus
4,association,genome,wide,study,pregnancy,female,syndrome,people,multifactorial,inheritance
