Theme,Term_1,Term_2,Term_3,Term_4,Term_5,Term_6,Term_7,Term_8,Term_9,Term_10
0,aged,adult,middle,female,male,studies,states,united,young,adolescent
1,health,population,studies,services,care,surveys,case,control,delivery,status
2,research,biomedical,united,states,history,medicine,century,medical,precision,topic
3,genetic,genome,association,wide,study,disease,predisposition,risk,nucleotide,single
4,19,covid,pandemics,sars,cov,infections,coronavirus,viral,betacoronavirus,pneumonia
