,publication_growth_rate,growth_acceleration,research_maturity,recent_activity_rate,research_span_years,total_publications
UK Biobank,108.1055900621118,0.5516635900415081,1.0,0.8973298570529533,21.0,11123.0
Million Veteran Program,5.456065055342217,0.5414282236394468,1.0,0.9069767441860465,21.0,430.0
FinnGen,198.05714285714285,0.7613110544461625,1.0,0.9983695652173913,5.0,1840.0
All of Us,27.01666666666667,0.7164600185410722,1.0,0.9331046312178388,8.0,583.0
Estonian Biobank,4.0094674556213015,0.3689495220344521,1.0,0.3961708394698085,14.0,679.0
