,gini,theil,cv,simpson_inequality
UK Biobank,0.7705774462121835,1.2801987077948913,2.2027615140724355,0.24383992866161197
Million Veteran Program,0.6691106585200273,0.8884301701617957,1.7327822765404606,0.2668356278595161
FinnGen,0.7744325239977414,1.440372369882058,2.7276337670734816,0.36695591162084673
All of Us,0.74002828854314,1.1890340565003443,2.0872902787522745,0.2550847956082738
Estonian Biobank,0.7958307786633967,1.3998434110303521,2.2704849736906842,0.2931000959883423
